product_name,brand,product_type,unit,unit_purchase,price_per_unit,total_price,currency,date,delivery,store_location,type_store,customer_name,cashier_name
Spirit Level,Krisbow,Tool,Piece,16,65000,1040000,IDR,2022-09-02 14:04:57,Delivery,Jakarta,Branch,Syifa Ubaid,Muhammad Fikru
Timber Beam (Kaso),Unbranded,Wood,Piece,30,25000,750000,IDR,2024-07-25 10:38:20,Delivery,Jayapura,Branch,Melania Kusuma,Marshanda Maharani
Wall Putty (Filler),Matex,Paint Accessory,Kg,25,20000,500000,IDR,2020-10-31 16:46:21,Delivery,Jakarta,Branch,Tono Malaka,Muhammad Fikru
Paint Roller,Ace Oldfields,Paint Accessory,Piece,16,25000,400000,IDR,2021-01-14 16:41:38,Pickup,Medan,Branch,Kayla Ubaid,Kayla Kiki Lena
Floor Drain,Onda,Sanitary,Piece,31,50000,1550000,IDR,2022-06-18 14:38:48,Pickup,Denpasar,Branch,Aleena Jayawardana,Permata Qaila
Roof Batten (Reng),Unbranded,Wood,Piece,16,15000,240000,IDR,2023-12-27 11:34:21,Pickup,Surabaya,Branch,Asep Wijaya,Isabell Inaya
Skim Coat (Wall Putty),Drymix,Mortar,Sack,8,55000,440000,IDR,2023-05-13 17:21:18,Delivery,Jakarta,Branch,Syifa Shihab,Erinna Elsa Elizha
Paint Roller,Ace Oldfields,Paint Accessory,Piece,47,25000,1175000,IDR,2022-05-23 15:51:11,Pickup,Surabaya,Branch,Wawan Thalib,Isabell Inaya
Ceramic Tile,Roman,Tile,Box,3,75000,225000,IDR,2021-07-26 17:09:48,Delivery,Denpasar,Branch,Nina Jayawardana,Nina Octavia
Paint Roller,Ace Oldfields,Paint Accessory,Piece,16,25000,400000,IDR,2024-04-13 16:28:57,Pickup,Surabaya,Branch,Hendra Wijaya,Burhan Bakhtiar
Formwork Board (Shuttering),Unbranded,Wood,Piece,6,30000,180000,IDR,2022-06-29 14:48:52,Delivery,Surabaya,Branch,Wawan Shihab,Zahra Jasmine
Lamp Bulb,Philips,Electrical,Piece,3,15000,45000,IDR,2022-08-03 17:17:23,Delivery,Medan,Branch,Tono Thalib,Ehsan Aziz
Gresik 50 kg,Gresik,Cement,Sack,15,70000,1050000,IDR,2024-05-21 16:03:49,Delivery,Medan,Branch,Tono Wijaya,Kezia Karen
River Stone,Unbranded,Stone,Cubic Meter,33,330000,10890000,IDR,2022-03-01 14:51:35,Delivery,Bandung,Branch,Agung Syaiban,Anwar Arif Akhtar
Rebar 8mm,Master Steel,Steel,Meter,28,20000,560000,IDR,2024-11-09 10:56:18,Pickup,Medan,Branch,Saiful Shihab,Chairil Dhaifullah
PVC Pipe,Rucika,Plumbing,Meter,40,16000,640000,IDR,2022-05-11 14:39:04,Pickup,Surabaya,Branch,Nina Kusuma,Zahra Jasmine
Door Hinge,Belleza,Lock Accessory,Pair,25,30000,750000,IDR,2024-12-10 13:52:40,Delivery,Tasikmalaya,Head Office,Saiful Jayawardana,Naura Aliya Lestari
Rebar 8mm,Master Steel,Steel,Meter,5,20000,100000,IDR,2024-07-27 09:34:46,Pickup,Jayapura,Branch,Kayla Thalib,Fauzi Ghaffar
Tiga Roda 40 kg,Tiga Roda,Cement,Sack,13,64000,832000,IDR,2023-01-28 10:49:38,Delivery,Jakarta,Branch,Ananda Ubaid,Ahmad Adam
Hand Saw,Tekiro,Tool,Piece,45,60000,2700000,IDR,2021-09-07 10:06:17,Pickup,Jakarta,Branch,Agung Kusuma,Erinna Elsa Elizha
Skim Coat (Wall Putty),Drymix,Mortar,Sack,39,55000,2145000,IDR,2023-11-16 16:39:47,Delivery,Denpasar,Branch,Kayla Shihab,Nina Octavia
Steel Door,WINA,Door,Piece,28,700000,19600000,IDR,2023-03-20 12:56:43,Delivery,Bandung,Branch,Erna Thalib,Anwar Arif Akhtar
Gresik 50 kg,Gresik,Cement,Sack,11,70000,770000,IDR,2021-12-31 10:36:56,Pickup,Surabaya,Branch,Erna Shihab,Zahra Jasmine
Door Lock,Solid,Lock,Set,4,100000,400000,IDR,2021-07-05 13:48:17,Pickup,Medan,Branch,Azahra Wijaya,Chairil Dhaifullah
Hand Saw,Tekiro,Tool,Piece,4,60000,240000,IDR,2024-12-05 09:15:41,Delivery,Jayapura,Branch,Melania Shihab,Fauzi Ghaffar
Water Tank,Penguin,Plumbing,Piece,6,1500000,9000000,IDR,2021-08-09 08:49:40,Delivery,Denpasar,Branch,Erna Syaiban,Ibrahim Iman
Paint Roller,Ace Oldfields,Paint Accessory,Piece,49,25000,1225000,IDR,2020-02-24 13:32:59,Delivery,Jayapura,Branch,Ferry Pahlevi,Marshanda Maharani
Door Lock,Solid,Lock,Set,34,100000,3400000,IDR,2021-05-20 11:23:09,Pickup,Tasikmalaya,Head Office,Azahra Malaka,Naura Aliya Lestari
PVC Pipe,Wavin,Plumbing,Meter,12,15000,180000,IDR,2022-12-24 14:07:26,Pickup,Denpasar,Branch,Agus Kusuma,Ilyas Jabar
Wheelbarrow,Artco,Tool,Piece,27,450000,12150000,IDR,2022-09-21 10:26:02,Delivery,Tasikmalaya,Head Office,Agung Tanuwijaya,Atyla Azfa
Rebar 8mm,Master Steel,Steel,Meter,44,20000,880000,IDR,2023-05-27 14:00:26,Delivery,Denpasar,Branch,Asep Jayawardana,Permata Qaila
Ceramic Tile,Roman,Tile,Box,16,75000,1200000,IDR,2021-09-20 12:46:35,Pickup,Bandung,Branch,Syifa Pahlevi,Anwar Arif Akhtar
Wall Paint,Dulux,Paint,Can,26,120000,3120000,IDR,2023-04-10 13:40:42,Pickup,Tasikmalaya,Head Office,Agus Wijaya,Atyla Azfa
